rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,travelDate
5,The best ever service run by Marcin. Great atmosphere and delicious food. Maybe the surrounding music should be a litte quieter.,Little America in Gdansk.,"Krakow, Poland",Krakow,wojciechwentura,2024-10
5,"We visited Billy's for dessert and had a wonderful experience! The waiter Clark was very pleasant, and made the visit even better. I recommend visiting if you want to experience good, American food and lovely service.",Fantastic experience,"Trondheim, Norway",Trondheim,Resort09823335213,2024-10
5,"I had a really nice cocktail,Rose Spritz.My partner had ribs.
We were served by Clark😊 very nice gentleman,friendly and polite. 
The location is amazing and by the river. 
We recommend the place😊",Highly recommended!,,,iamandreeea,2024-10
5,"I was served by Jacob.
Great service, and super nice guy!
The food was great. Had the american salad with honey mustard. Recommend it!","Great food, super service!",,,Miahom,2024-10
5,Fantastic food and top class service. Clark recommended the best accompaniments to our food - all was great. Thank you for the great service.,Great food. Fantastic service.,"Perth and Kinross, United Kingdom",Perth and Kinross,K5375AOneilh,2024-10
4,"Our server was Laura, she was very nice. We came a little late for breakfast but she still made it work😊
The restaurant was very nice and they gave us free popcorn",Review,,,Adventure67856337952,2024-10
5,Absolutely top good service by Laura👍👍 nice place very good food we were welcomed well looked after came me coffee to fill up all the time. Laura is clever very nice Lady Laura 👍👍☺️🌞,Lunch,,,Seaside11375651373,2024-10
5,I really liked the food. It was really tasty and we got a lot of food for that price. The service were excellent. They were very kind and professional and always checked if we were satisfied. It was an unbelievable experience. I recommend this place to everybody,Billy's chmielna,,,Global10373365593,2024-10
5,Very nice place to eat. Lots of good things on the menu. We ate both breakfast and dinner there. Large portions for breakfast. Day two we shared one. The spare ribs were lovely.,Breakfast and dinner,,,11hanneb,2024-10
5,Clark handled our package and we were very pleased! Very professional service! The food is also delicious!!!!!!!!,The best staff ever,"Lodz, Poland",Lodz,wioletaz258,2024-10
5,"Hey,

We were served by Clarkk, everything was great, professionalism and nice atmosphere! Food taste sooo good🙂‍↕️

See ya soon Clark aka Hubert🙌🤓",Perfect served by Clark,,,michalkK8066MB,2024-10
5,"Amazing restaurant,great food and very good service.Clark was amazing waiter.We have visit Gdansk in October and discover this beautiful germ of the Poland.We will come again for sure.",Great restaurant,"Oslo, Norway",Oslo,Curious51000336142,2024-10
5,"first of all, very nice service!! Mrs. Amelia took great care of our table<3 very good food, place worth recommending",the opinion,,,389oliwkad,2024-09
5,"I definitely recommend the delicious BBQ ribs and Fish and chips. Perfect lemonades, not too sweet. The restaurant is dog friendly, so that's also a plus. Very nice and professional service, especially Mr. Piotr.",Sincere Recommendation,,,DonHosh,2024-09
5,"Visited here after a river cruise on the Black Pearl Lovely food and amazing service from our waitress,  Anita. Would definitely return. Thank you!",Great food and service!,,,gregmI448JO,2024-09
5,"What an amazing experience, the food was incredible the burgers steak chicken and ribs outstanding. Special mention to Magda x for looking after us really well. Next time we are in Gdańsk we will be back ❤️🍺👍",Amazing food efficient staff,"Northallerton, United Kingdom",Northallerton,Cplcourvoisier,2024-09
5,"We had dinner at this place and the staff were friendly and everything was prompt.

It was the first place we eat in where we didn’t feel ignored by staff and everything went well and smoothly. 

Food and atmosphere is good, definitely recommend as a place to eat.",Good experience and food,United Kingdom,United Kingdom,Hatrick3,2024-09
5,"Ordered the ribs. They were fantastic! A bit too much for our appetite, but good price for the amount. Would recommend the onion rings as well.",Try the ribs!,,,992mikaeld,2024-09
5,"Very good food and great service. We ate burgers, and for dessert Mrs. Laura recommended ""Red Planet"" and it was a hit! Thank you 😀",Pride!,,,Nomad31650922454,2024-09
5,"Very tasty food, a great location, and good service. The best part was David's excellent service, as he was attentive, friendly, and made sure everything was perfect. I would highly recommend this place to anyone looking for a memorable dining experience!",Nice place!,,,ambarz2020,2024-08
5,Great food and great service. Greetings to Mrs. Helena who took care of our entire family. I also recommend the burgers and all the starters,The best ribs I've ever eaten,,,jaroslawk260,2024-08
5,"Great service by super nice Weronika! Good food, nice warm place, good choice for sad rainy afternoon. Fat burger is too big for one person ;)",Nice place,,,nataliamC308ZN,2024-09
5,"Very good food, nice atmosphere, great service. The room is very pleasant. We highly recommend it. We will come back here next time too.",Delicious service and amazing service.,,,agap645,2024-09
5,"Food and service are outstanding. David helped me with my order and could have not been more attentive and helpful.
Totally recommend this place.",In for a treat,"Rotterdam, The Netherlands",Rotterdam,alejandroh877,2024-09
5,"Friendly service, cheerful lady Veronika, classy, ​​fantastic dishes if you like American, greetings",Go enjoy Billy's,,,paulv319,2024-09
5,Very good food area is super nice by the canal and Jacobo is really professional and nice.  The meat was tasty and soft. Place surely suggested,Nice place nice meat nice Jacobo,"Catania, Italy",Catania,franconarcisi,2024-09
5,"Simply delicious, there is nothing more to say. Prices and waiting times are great. Ambience suits this restaurant. Friendly service 👍",American cuisine,"Cottbus, Germany",Cottbus,Sightseer41214106962,2024-09
5,This is one of the best American restaurant's we ever have visited in Europe. Fantastic food and waitress Olga was just amazing. top service and food makes this restaurants to our favourite in Gdansk. we will be back soon for sure .,A place you just have to visit :-D,"Stjordal, Norway",Stjordal,jonnya789,2024-09
5,"Very delicious burgers, great atmosphere in the place. Great service by Mr. Dawid. You served us very nicely and professionally.",Dinner,,,G4357IDmicha_p,2024-09
5,"Delicious food, nice atmosphere and Mr. Kuba... (100% professionalism) made for a very successful evening. Thanks",It's really worth it.,,,S2830VUadriand,2024-08
5,"tried Billy's for breakfast and was really impressed so tonight we thought we would try dinner ..
 we were served by Helena who was really polite . 
the food was excellent 👌...",Helena the waitress 5******,"Doncaster, United Kingdom",Doncaster,craigjU1081ZR,2024-08
5,"We have been combining a business trip with a short city break in beautiful city of Gdańsk. Decided to go for a stake experience at Billy’s.
We were lucky to be served by Nicole, who has proven not only to be an extremely pleasant person but most of all, an excellent professional.  Knowledgeable on advice and very concerned.  
Overall, very good food, great atmosphere and excellent service! Well worth it!",Very good food and service,,,293joannae,2024-08
4,"We chose the restaurant during a city tour in 30°C weather to take a short break and drink a lemonade. After looking at the menu, we ordered two meals because the meals sounded very tasty. A meal for one hungry person, and the two of us not-so-hungry people wanted to share the ribs. Our friendly waitress Nicole made sure that we got the ribs on two plates instead of just one - super nice! We haven't eaten ribs so well marinated, aromatic and really tender for a long time. So we stayed longer than planned and ordered a fruit shake to go with the lemonades (strawberry, blueberry, watermelon). Everything very tasty! And it's good that Nicole served us! Points are deducted for the toilet, which should be checked and cleaned more regularly.","Delicious food, wonderful service",,,Fearless08795091721,2024-08
5,"Nice way to start your day with tasty burrito and salad. 😋
Drink as much coffee as you like with refill option. 😉
Kuba was our waiter! 👍🏻
Thank you!",Cool place for food and drink at the waterfront.,,,rafa_gJ4626JC,2024-08
5,"Delicious food, we were there for the first time and despite the location, after looking at the menu, we were not moved because of the prices. The food was great, the service from Mrs. Oliwia was quick, the order was taken very quickly, we were asked several times if everything was OK and if we liked it. I recommend it to everyone who will be in Gdańsk because they will eat well and properly and won't go bankrupt at the same time :)","We were served by Mrs. Oliwia, a professional and at the same time very nice and friendly person :)",,,957aleksanderr,2024-08
5,"Everything was great, and the best thing, of course, was the service! 
Thank you Janek for professional and quick service and interest🥰",Everything perfect :),,,K7668OAsandrap,2024-08
5,"We had a top meal at the Billys in Sopot and jumped at the chance to have a second meal when we spotted the Billys in Gadansk. Our waitress, Nicole, was a joy to behold, friendly, helpful and spot on with our orders. Do yourselves a favour get into Billys and have the ribs and chips. You will be well pleased",Excellent food,"Hartlepool, United Kingdom",Hartlepool,Boageyman,2024-08
5,"The best ribs I have ever eaten in my life.
The meat was falling off the bones and melting in your mouth.
Great decor and atmosphere.
We would like to thank Oliwia who served us, she had a very professional approach to the customer and was also a very nice person 
Thank you, we will definitely come back!❤️",Ribs 10/10,"Nowy Targ, Poland",Nowy Targ,Roam63014338995,2024-08
5,"We had the most amazing breakfast there, and the service was amazing too! The surprise popcorn was cherry on the top!
Dziękuję bardzo Olga!❤️😊",Best breakfast in Gdansk,,,davidbW7982OM,2024-08
5,"Very good food, great atmosphere and great atmosphere of this place. Very nice and helpful staff - especially Mrs. Oliwia :) As you can see, my husband is happy :D",Super,,,agatakP1788CR,2024-08
5,"American food heaven. Fast service, very nice waitresses. When asked to put and light a candle, he not only did it, but also arranged for fireworks and sang ""Happy Birthday"" to our daughter. The food is very tasty. We recommend trying ""Fish & chips"". We visited this restaurant several times during our week in Gdańsk.",Perfect place,"Kaunas, Lithuania",Kaunas,335evelinap,2024-08
5,"Delucious food, perfect service, lovely place and beautiful view.  Honestly tripadvisor I won't write all that again, when I was at the end of my review your page decided to relog me for whatever reason and I have lost everything I wrote here, I'm furious. I'm doing this only because that very nice waitress asked me, if I could write a review here and I promised i will.","Delucious food, perfect service, lovely place and beautiful view.",,,Ranger80pl,2024-08
5,"First time to Billys in Gdańsk. The manager was really kind and gave us a good table outside. Kind and helpful to all our requests. Our waiter, Piotr (he liked to be called Peter) was very experienced and helpful. Great service and attitude towards their customers. We were two people sharing a Tomahawk (1kg) steak. Absolutely amazing in taste. The fries and drinks on the side were all really good. Thanks for an amazing experience! 10/10. Definitely top 3 best steaks I’ve had in my life. Keep it up!👍🏼",Fantastic food and service. HIGHLY recommend!,"Bergen, Norway",Bergen,SebastianRekdal,2024-08
5,"Great food and five-star service from our skilled and cheerful waitress Nicole. Large portions, tender meat and lovely flavours. Recommended, and hope you get Nicole as your waitress. 
",Fantastic dining experience,"Tromso, Norway",Tromso,ean002,2024-08
5,"Great food, great location, great atmosphere.  Our waitress, Olga, was very friendly and helpful.  Gluten free options are great.",Dinner by the river!,,,davidaU9406XH,2024-08
5,"Great service, food, we will definitely come back when we are in Gdańsk again :) Mrs. Alicja who served us was a big plus! The view from the restaurant is unforgettable.",Great restaurant!,,,maciejt844,2024-08
5,"After arriving in Gdańsk, we were looking for a place where we would not only eat tasty food, but also find friendly service. And you'll find all this at Billy's. I especially recommend Mr. Paweł. This is service at a level we have never seen anywhere before. We are very satisfied and will definitely come back. Once again, we recommend and encourage you to check it out.",I highly recommend it!,,,martynamB7718LE,2024-07
5,"I needed a good medium sirloin steak with a baked potato, pepper sauce and no fuss, got exactly what I wanted. Our waiter was super nice, we weren't too happy with the table we got and asked for another one, he was an angel about it. It's simple and they deliver on what they said. 5 plus in my book.",Good simple and central place for a piece of meat,"Fuerteventura, Spain",Fuerteventura,oscarw968,2024-07
5,"Good restaurant, nice view, good services, stuffs are so kind, special thanks to CUBA for your service, I will definitely come again and I will recommend to a friends and family.","Good service, and good waiters","Island of Malta, Malta",Island of Malta,alihM3168DW,2024-07
5,"Grate restaurant, with grate crew. We had Nicole ås å waiteress. She was briliant at her job. I guess we will be back next timw",Nice place,Norway,Norway,Safari02376860492,2024-07
5,"Dear car lights,

I would like to express my gratitude for the wonderful experience I had with you recently. The food was exceptional - both tasty and creatively prepared. Each dish was a delight for the taste buds and it was clear that a lot of love and care had gone into the preparation.

The service was also top class. The staff were friendly,",Very well was served by jagoda,,,jeppek910,2024-07
5,Good Foods and good drinks. Great service from Peter 😎😊 We have been here 3 times the last week. And IT Will Be many more.,Great service,"Trøndelag, Norway",Trøndelag,275hugom,2024-07
5,"Was quickly received by the wonderful waitress Olivia who quickly fixed a table for us at the outdoor terrace. 
The weather was not at its best, but she arranged a table for us next to a small ""fireplace"" where it quickly became warm and comfortable. 
We ordered Billy's own bottled beer, there were three varieties to choose from and the choice fell on the IPA. 
It was probably one of the best beers we drank in Poland. A bowl of popcorn quickly arrived and Olivia took our order. 
When we were there for lunch, we decided to each have an American salad, it is very similar to Caesar salad but without bacon. 
After about 10 minutes, a wonderful salad arrived, we chose to skip the two baguettes that were included, the salad was magically good and the chicken very well cooked. 
We ate in peace and when we had to pay, the bill came quickly. 
We will return for dinner already tonight and hope to have Olivia as our waitress again.",The best food with the best waitress.,"Gothenburg, Sweden",Gothenburg,_sas901,2024-07
5,"Great atmosphere and tasty food. 
Olga is a great waitress and she took care of in very profesionall way. Son has a birthday and she bring him a burger with fireworks. 
We will be back.",Great place to spend time,"Gdansk, Poland",Gdansk,62michalz,2024-07
5,"If you are a fan of good American cuisine, this place is made for you. We ordered delicious shrimp soup which turned out to be super filling and masterful ribs with baked potatoes that will be hard to beat with anything. The waiter, Piotr, is very nice and we would like to thank him for his very nice service and good advice on choosing the menu. Thanks to people like this, we want to come back to such places :) We recommend, we recommend and we will definitely come back :)",Fantastic place with very nice service,"Bierun, Poland",Bierun,annawaliczek,2024-07
5,Thank you very much for the professional service provided by Mrs. Weronika ☺️ the food and drinks were delicious! See you next time 🤗,Professional service and delicious food,,,Klaudiasit97,2024-07
5,"Exceptional Dining Experience!

My visit was outstanding. From the warm welcome and cozy ambiance to the diverse and delicious menu, every detail was perfect. Our server Kuba was attentive and knowledgeable, ensuring a seamless dining experience. Highly recommended!",Kuba - the friendly “american” host,,,K7873DQalexm,2024-07
5,"Very good breakfast, nice staff and nice premises.
We were received by pleasant staff, we got food and drink quickly, and the staff were friendly and accommodating. Here everything went smoothly 🤩",Nice eatery,,,torilg936,2024-07
5,"Am not usually a breakfast person but, i wanted to try that breakfast burrito, and that was a desicion i will never regret! 10/10, service was also 10/10, if i were to stay at gdansk longer, i would come here every morning!",Great Breakfast,,,pogosj,2024-07
5,We ordered two different breakfast dishes. Both were very good. Freshly squeezed orange juice was a plus. Pleasant waitress 😊 We will be back.,Tasty breakfast 😊,"Aurskog, Norway",Aurskog,linemarlenh,2024-07
5,"Chosen because the images were very inviting... and so it was. A large menu, lots of choice, typical American steakhouse dishes. Excellent variety of cocktails. The super service: Jannek served us, a very kind guy, very helpful and courteous, excellent 😃!!! Average price considering the quality of the food and the period.",Good…good!!!!,"Umbertide, Italy",Umbertide,mircoa500,2024-07
4,"Pawet was super friendly and serwed well. Good food, Shrip soup was divine. Nice feeling in the place I could not finish all food. The portions were big.",Good american food,"Protaras, Cyprus",Protaras,tpennanen,2024-07
5,"Mrs. Olga served us in an amazing way, with a charming smile and unique eyes! Incredibly nice service! We hope that next time we will also meet Mrs. Olga. best regards!!",service,,,Q4158VVpiotrs,2024-07
5,"Incredibly nice service, Mrs. Olga is the best waitress that has served me recently. She has a beautiful smile and eyes, warm regards! Thank you for taking care of us and we hope to see Mrs. Olga again next time",Service,,,514konradr,2024-07
5,"⭐⭐⭐⭐⭐
We had a great time with awesome food, great portion sizes and a super nice waiter.

From the get-go, Kuba was super friendly and made us feel right at home.
The food was spot on – exactly what you'd hope for in an American diner. But it was Kuba's amazing service that made the meal memorable. He checked in on us just the right amount and made sure we had everything we needed.

If you're in the area and craving some good food with even better service, this Is a great choice!","Great food, place and service",,,carolinecJ788ZM,2024-07
5,"Everyone enjoyed the food and our waiter Kuba was  very professional, attentive and nice. The omelet was delicious. Would recommend.",Great,,,kevinlO8231AQ,2024-07
5,"Super delicious, I ate breakfast, lunch and appetizers, I've been eating there for 3 days, greetings to the waiter Kuba, great face",5/5,,,Q4382CQmaciekk,2024-07
5,"Great food,m and a lot to choose from on the menu. We had chicken, steaks and burger. Everyone were satisfied with their food :) 
Friendly staff and we did not wait long for the food to be served.",Tasteful dinner!,,,FarAway08909564148,2024-07
5,"Amazing Experience
Really friendly customer service from Oliwia.
Amazing food 
Fully recommend for anybody who loves American food.",Amazing Customer Service,,,mikolajr2023,2024-07
5,"very good food, great service and atmosphere! great place, I highly recommend it. We were served by Mrs. Oliwia - very smiling and helpful, best regards 😊😊",Olivia,,,Stay47768869734,2024-07
5,"very good service, food perfect, everything was all right. We 100% will be back. Waitress Oliwia was nice, our dog likes her too.",oliwia,,,Passenger11621368766,2024-07
5,"The dinner was delicious, the drinks were cold and refreshing, the atmosphere was very pleasant and atmospheric, the decor left nothing to say. Very polite and friendly service. The waitress, Laura, helped us a lot in choosing dishes and ensured we had a nice time.",Laura,,,198wiktoriak,2024-07
5,"Laura, you have given us so much kindness in this place. The food was delicious, the service was even better. Laura for victory! Laura for victory!",A nice waitress with a big heart,,,dominikrI5705PE,2024-07
5,"Very nice atmosphere! The waitresses talked in english, were very polite and helpful! Food was very tasty and it was really a pleasure to visit this place!",Good food and atmosphere!,,,linaj679,2024-07
5,"As always, the food is delicious, the service is at a high level, and the prices translate into the quality of the dishes. We will, as always, come back with great pleasure. Mrs. Laura, who served us, was very nice and wonderful.",Laura 🥰,"Koszalin, Poland",Koszalin,B5219QEjoannak,2024-07
5,We have had dinner twice at Billy's here in Gdansk. Different dishes all together. Large and good portions served by a very service-minded staff. Well worth visiting again! Recommended!,Fantastic food and service,"Fredrikstad, Norway",Fredrikstad,ireneolavesen,2024-07
5,"Yummy food and Alice was a great server. The music was fun and the atmosphere was good.  

We had the breakfast sandwich with French fries","A slice of home, with a European twist","Santee, California",Santee,saradZ3720UF,2024-07
4,"Very good food, although the burger could have been seasoned better ;) but apart from that everything was great, including Alicja who served us :)",Super,,,190ariel_,2024-07
5,"Great food served quickly, very nice service ALICE❤️❤️ nice, warm and smiling girl. Burgers, delicious meat, juicy toppings, finger-licking good. I recommend it and I will definitely come back",Service,,,ma_gorzataa829,2024-07
3,"Decent place to get a nice milkshake, their steak was not impressive for the price. 
Cozy themed atmosphere and location by the water. 
Friendly and fast service.",Ok man no wow,"Hvidovre, Denmark",Hvidovre,504piah,2024-07
5,We stopped here for lunch Very good food and fantastic service from Nicole. We will be happy to return here several times.,Top service and lovely food.,"Kolbotn, Norway",Kolbotn,917kathrinem,2024-07
5,"A really fun spot to spend some time and enjoy great food! Fast and friendly service! Alice our server was super! ♥️ We had chorizo soup to start, which was perfect as were caught in the rain on the way in! My husband enjoyed the California steak, very tasty and perfectly cooked!",Great Service! Great Food!,"Brush, Colorado",Brush,NancyM3759,2024-07
5,"Staff is nice, food is good, portions are really solid! Would really recommend visiting the place and trying out the main Billy’s dishes there.",Satisfied customer,"Vilnius County, Lithuania",Vilnius County,vidmantascernelis,2024-07
4,"Nice alternative to Hard rock café. Classic American dishes, desserts, breakfast and milkshake. A little too few staff at breakfasts. Better in the evening. ",For us,"Stockholm, Sweden",Stockholm,jonasa746,2024-07
5,"We've been served by Anastazja. Lovely lady, nice and professional service. Food was lovely as well. Best ribs ever! Nice atmosphere overall.",Lovely Anastasia,,,karolinakY4637QI,2024-06
4,"Very good breakfast and clean environment. They serve filtered coffee which was a big plus. Our waitress Nicole was very helpful and professional, so kudos to her!",Good service,,,774iidar,2024-07
5,Wonderful menu and wonderful view. Delicious food. My husband was really impressed with the steak 🥩. Exactly as he ordered! Definitely will be back!,Good experience!!!!,"Orpington, United Kingdom",Orpington,bogusiaredford,2024-06
5,Lovely food and super nice service by Nicole. Nice place and nice atmosphere! Nicely located by the water near the old town of Gdansk. Good prices.,Good food and lovely service,,,G3963ONtommyh,2024-07
5,"The food at this restaurant is really good, and they offer a selection of craft beer. There's a wide variety of American dishes to choose from. The service is super friendly—special thanks to our waitress Alice. We're so glad we found this place and will definitely be coming back!",Great!,,,annawY4686TV,2024-07
5,"Billy's was great, we both got the veggie Marley burger and it was incredible, one of the best veggie burgers I've had. Helena (our server) was exceptional, service was super fast and it was a perfect meal!",Perfect meal,"Brighton, United Kingdom",Brighton,Sightseer07509144976,2024-07
5,"The food and atmosphere were absolutely wonderful! Every single dish I tried was a gastronomic delight, and the restaurant radiated a distinctive and welcoming charm. Helena, our excellent waitress, was both welcoming and particularly caring, which made the meal an unforgettable experience. I can happily recommend this culinary paradise to everyone!",Amazing meal?,,,Sherpa29511016274,2024-07
5,"The food and atmosphere were fantastic! 

Everything we tried tasted delicious, and the restaurant has a cozy and relaxing atmosphere. 

Helena was a very good waitress - she was attentive, friendly and made the experience even better. 

Highly recommended!",Fantastic place:-),,,AudunT28,2024-07
5,"First of all the staff were super friendly, which made me feel comfortable instantly. We were served by Olga who was attentive,professional and very efficient. Lovely and warm atmosphere. The food was cooked to perfection and the portion size was just right!Ribs were delicious.!!!!Thank you for a wonderful experience.",Amazing food and atmosphere,"St. Albans, United Kingdom",St. Albans,magdalenaj69,2024-07
5,"We highly recommend it - beautiful view, tasty food, great service (very nice Mrs. Helena! :)), a very nice place for families!",We recommend,"Warsaw, Poland",Warsaw,443ewak,2024-07
5,"Everything is great, thank you Alice for the great service!
Everything is very tasty, satisfying, the service is excellent! I recommend this place for both breakfast and dinner.
The ribs are simply amazing, I have never tasted such delicious ones! Definitely the best place!",Best place in Gdansk,,,julijam676,2024-07
5,"Amazing food and service provided by Miss Alice. I highly recommend the omlette and ""coco jambo"" from the breakfast menu. We were also here yesterday for dinner, which was just as good. Each menu item was delightful and as for the atmosphere of the place, its very relaxed and inviting. Thank you again to Alice and I'm sure we'll visit again soon!!",AMAZING!,,,ewamG6373BT,2024-07
