rating,text,title,user/userLocation/name,user/userLocation/shortName,user/username,publishedDate
4,"Characteristic steak house... nice urban furniture.
Excellent location (for me) in the center.
I found live music, fast and competent service.
Good food 
Overall very nice ",Ribs and live music,,,fabriziof679,2024-11-20
5,We really enjoyed whiskey in The Jar. Great food and really great service from our waiter piotr! No problems recomending The Jar !,Thank you Piotr!,"Sandefjord Municipality, Norway",Sandefjord Municipality,Tourist48230130413,2024-11-19
5,"Great atmosphere, nice service, Ola helpful in choosing drinks and food 
I highly recommend it
Very positive impressions / Kasia",A place with character,,,436kasiaf,2024-11-11
5,"We visited here on a Saturday night and when we arrived I was glad we had made a booking a few days before as there was quite a queue. It did seem to move quickly. We were shown to our table upstairs, initially we thought that this was perhaps out of the way and we may have been forgotten about this was definitely not the case our waiter was excellent! Very friendly and helpful when we were choosing from the menu. We shared ribs and wings between 4 to start and this was plenty. For our mains we had the sharing meat platter for 2, a steak on the rock and classic ribs - all were excellent! The sugar snap peas and tomato side was also delicious. Service was quick and efficient without feeling rushed. We had no room for dessert. We would definitely recommend while in Gdansk.","Excellent setting, service and food","Carrickfergus, United Kingdom",Carrickfergus,rachwatson,2024-11-10
5,"Very nice pub!! With very nice drinks and food!
Food was excellent, they had a variety of drinks.. jolly bartenders too!",Outstanding place in Gdansk,,,S2899RDirenea,2024-11-09
5,We really liked the atmosphere of this restaurant! We ordered steak and ribs. Everything was prepared very tasty and the dishes were served in an original way! The service in the restaurant is very pleasant. The cocktail menu is interesting and varied! We recommend!!! 👍,Whiskey in a jar 🤘,,,Passenger33107124910,2024-11-04
5,"We came Sunday evening and walking in what looked like an American diner, the ribs were delicious,  my husband had a steak that was cooking still on a hot stone where he proceeded to put his finger on it ha ha. He had steak with a side of burnt finger. As its nearing to Halloween they had Michael Myers running around the place causing havoc which to be honest was the highlight of my break. Lovely spooky vibes and top music. Only negative was you accessed the menu online and couldn't really make out as it was in polish but the waitress Isobel sat down and went through it with us, she was lovely and so helpful and i have recommended my sister go there as she's in Gdansk at the moment.  I also had a lovely hot cocktail called cherry choco which was served hot in a mason jar and was delicious.  Bit pricier compared to other polish restaurants but then it was more fun than other restaurants i suppose and still cheaper than the UK.  ",Atmospheric,"Urmston, United Kingdom",Urmston,118rachelc,2024-10-29
4,"Visiting in middle of October. We ate burgers, they where better then average in gdansk. The taco seasoning on the french fries was not our favorite. Probably a busy place in the tourist season. Ok place to visit when you want to eat a burger.",An ok tourist place when you want a burger.,,,uteochreserminsann,2024-10-28
3,"Very good food. We ate meat and ribs. The drinks were also good. 
What pulls it down is the atmosphere. Way too much us from the cooking. Not a pleasant place to sit for long. Also had to wait quite a long time for a drink that didn't arrive until just before we had to pay (then it wasn't strictly necessary anymore).","Good food, but not a place we go back to",,,malind468,2024-10-27
3,"We were at the restaurant in Gdansk. To days in a row. Symon was a lovely waitress but the other ones are destroying the atmosphere. We were there to times and bought times the young girls were very impolite. 

It is so sad because the food was very tasty.",Shame for rude waitresses,"Oslo, Norway",Oslo,285roxanat,2024-10-27
5,"Decided for a change of pace away from Eastern European or Polish food. Found whiskey Joe’s. A nice walk from the heart of the old city along the waterfront. Once inside I was amazed at how spacious the restaurant was. Actually has two floors. We sat on the top floor so we could look down and “people watch”. The alcohol selection wasn’t great but sufficient. We ordered the steak that served in a sizzling platter. we made sure to order the steak cooked one level of doneness  below what we really like because it continues to cook on the platter. we ordered the top grade steak and it was worth it. We cooked it to perfection and it was so tender and flavorful. 
The service was a little bit underwhelming but it was prime time and they were very busy. Probably would’ve had a few more drinks if we had better service. Overall a great experience and we would definitely recommend.",Fun restaurant in a great town.,"Lake Mary, Florida",Lake Mary,larpc_travel,2024-10-26
5,"this is an incredibly cool concept. Implemented throughout. Was so impressed that it was 2 days in a row! The first day we were served by Piotr. Then I ate a tomahawk, while the wife went for spareribs. Excellent quality on both dishes. The tomahawk was a little more expensive than anticipated since I chose beef instead of pork. 

Day 2 we each went for our Jim Beam supreme Burger. Goes straight into the top 3 list of burgers!! Strongly recommended. This day we were served by Simon. 

If you want both a cool concept, proper meat and good service, this is the place. Quality costs a little extra but not a deterrent ",Decent meat!!!,,,486kristoffero,2024-10-22
5,"Fantastically good food. Cool concept. Good service all evening (waiter Peter). We had dinner, drinks and dessert. Got a lot for the money. Definitely worth a visit. A number of children were present. I don't think it's a place for children at weekends in the evening.",Fantastic,,,maritan408,2024-10-20
5,"Fantastic atmosphere and food/drinks. Very good service. Worth queuing to get in. A bit expensive, but worth every penny. Will come back here!","Good service, good atmosphere and fantastic food.","Kristiansand, Norway",Kristiansand,catgje79,2024-10-19
5,"Delicious food, very nice waitress Ola. I honestly recommend it, you won't find a better place for a burger anywhere",Super,,,12kamilc,2024-10-19
5,"Delicious steaks and friendly service. Top class cocktails. Very nice Mrs. Wiktoria, who patiently explained the differences between steaks and helped with drinks. Great atmosphere.",Steaks and service,"Gdansk, Poland",Gdansk,daria_olennikova18,2024-10-18
5,"Extremely good food. Try Rock'n Steak, it's served on a glowing lava cast and you finish cooking it yourself. Also try Hot Jars. Pleasant service that actually smiles. Not everyone does in Poland.",Best dining experience in Gdansk 👌,"Alesund, Norway",Alesund,Venture43874908639,2024-10-17
5,"Trust all the 5 star reviews - this is a great spot on an island in the centre of the Old Town, Gdansk. 

Fantastic quality steak and delicious cocktails. Staff are welcoming and helpful.

Only slight irk is having to use your mobile to access the menu, but it wasn’t enough to take a star off.",Great spot for the best steak in Gdansk,"Bangor, United Kingdom",Bangor,Ana333,2024-10-16
5,"We ate the best BBQ ribs in the world there! Large portion, tender and tasty! The accompanying salad was also delicious. Two visits in 8 days.",We recommend!,"Quebec City, Canada",Quebec City,452,2024-10-15
5,This place is amazing the steak was nice and cooked and worth the wait for amazing steak by fabulous cooks it’s only 3 words best steak ever,The Best steak ever in my life!,,,793mikeyb,2024-10-13
5,"Awesome restaurant, great food, cocktails from another world and our waiter Piotr absolutely great! Highly recommend this place!",The place to be.,,,_rakrist_ns,2024-10-05
5,We had a great experience! Food and drinks very good. Our waiter was Piotr and he was absolutely lovely and gave great recommendations. The athmosphere is great and the staff great! Will definintely come again!,I recommend!,,,signysverris,2024-10-05
5,We had great experience. Our waiter Piotr was nice - gave us good recommendations of what to ear and drink. We will definitely come again.,Do recommend!,,,UnaS_13,2024-10-05
4,"Was there for a late lunch so very quiet. The food was fantastic and the best we ate on the trip. Ribs, strips and salad. Very good waiter who explained calmly and well. A little loud music for lunch. Great music that we all recognized and enjoyed",Amazing food that is worth its price. Good service. Good music lovely environment (lunch),"Mariestad, Sweden",Mariestad,Yosa78,2024-10-05
4,"Good and big  place near the river 
The view is super just q but cold in winter
The food is very good quality and tasting 
Was good surprise",Gdańsk trip,,,477beppeb,2024-10-05
5,Brilliant food and service from Izabelle. Very good atmosphere between the guests and the staff.  Highly recommended.,Recommended,"Linköping, Sweden",Linköping,822patrikg,2024-10-04
3,"Cool premises and concept, but that's where it stops. The food/meat did not live up to expectations in any way. Few tempting sauces, so we went for spiced butter. When the food finally arrived, the meat was cold, so the spice butter did not melt. Boring accessories to choose from too. 
The venue was also extremely smoky. It was so gray that you could hardly see the end of the room. 
The smell of smoke and frying settled in all clothes and hair and was so thick that guests started coughing. Here, something seriously needs to be done with fans in the kitchen. It's boring to wear smelly outerwear for several days afterwards. 
For being a meat restaurant, it is also too bad that no meat/beef is offered on the children's menu. The children took a burger, but this one was not entirely to their taste either.",Bragging stuff,"Drammen, Norway",Drammen,fluanel,2024-10-03
5,"Had this place reccomended from before our arrival. 
We had an amazing dinner here! 
- Friendly and competent staff
- Amazing food. Might be the best steak I`ve ever had
- Very good drinks. The staff knows what to order if you ask.",Had this place reccomended. It over delievered,,,jonasn547,2024-10-01
5,"Great food, as usual. Nice rock music. Casual atmosphere. Szymon is a great waiter, very easy-going and able to advise on whatever you need. Highly recommended :) ",Great experience as usual,"Gdansk, Poland",Gdansk,GosiaKJ,2024-09-29
4,"The location is fab, the food was decent too. We both had burgers. 

The weather was good enough to sit outside and eat which as a bonus looking into the buildings and water.

When we first arrived two members of staff greeted us friendly explained we could sit anywhere which we did. One member of staff came back and asked us to move so they could link two tables together which we accommodated and our server would be over soon.

The downside we experienced was we waited a while and felt like we were being ignored, the table that sat at originally came in sat down and got served before us, which we didn’t understand. 

The server eventually appeared after we asked for our order to be taken as we had waited patiently.

It then appeared the server was dealing with a large rowdy group of men a few tables away from us and they were getting priority also.

We eat our food asked to pay and left,  I would recommend this place as everything else was fine apart from our experience of being ignored after accommodating a move of table.",Good food- customer service could be better,United Kingdom,United Kingdom,Hatrick3,2024-09-28
5,"Super good food, fantastic drinks and good service with friendly staff. A bit loud if you are sensitive to it and maybe not a place for vegetarians.",Bar and food in Gdansk,,,B6782IZjessicas,2024-09-28
5,Great bar on the river side! Paula was the best waitress and looked after us very well explaining all the drinks on offer would recommend 10/10,Lovely bar on the riverside,"Leeds, United Kingdom",Leeds,xland52,2024-09-28
5,"Cracking spot for a few jars of premium lager beer. Paula was an excellent host. 

The lager was very good and refreshing. Great spot",Lager beers,,,WilliamM2143,2024-09-28
5,"Best steak I’ve ever had. Lovely atmosphere with decent live music in the background 

Simon was able to make a cocktail for the better half to her liking. 

Service 100%, would thoroughly recommend Gdańsk and definitely this place. All food looked amazing, but our steaks were perfect",Perfect steaks and great atmosphere,,,irishpilib,2024-09-25
4,"Cool place, friendly staff, good food, good drinks, nice price.
All good, a must visit place.
Perfect outdoor area","Perfect outdoor area, good food, good service ","Hjallerup, Denmark",Hjallerup,PeterB8046,2024-09-22
4,Long waiting time for the food but we got a table for 10 even though we didn't book. Nice staff and good starters. Divided opinions on the burger. But well worth a visit.,Dinner at Whiskey in the jar,,,I7579BCn_,2024-09-22
3,"Had the flank steak, the beef was jucy and tasted great, but sause was cold and we got fries instead of the backed potato we ordered. We waited about 1 and 1/2 hour for food. All in all ok, but nothing to write home about.",Overpriced but ok,,,B4248GCchrisp,2024-09-21
5,Popular place with good outdoor seating. We had to queue for 30 minutes as we had not booked and wanted to sit outside. Good good food. Nice staff.,Outdoor dining with a perfect location.,"Sundbyberg, Sweden",Sundbyberg,Eunbergs,2024-09-20
5,"Fabulous chicken burger, and an Aperol Spritz dupe!  The Piranha tank is amazing.  My bill came to 38PLN so cheap!  Staff were very knowledgeable.",Great burger!  Piranha tank,,,TrailBlazer261350,2024-09-19
3,"We have been sitting here for a few days enjoying drinks in the sun, and have been quite satisfied. But on a Thursday evening when we thought of trying their steak, we were completely forgotten. We were directed to a table and were told the name of the waiter we were to have and that she would come very soon. After sitting and waiting for about 20 minutes without anyone coming to our table or showing that they had seen us, we got up and went somewhere else!
Give them average only for location, cool interior and lots of nice drinks",Was completely forgotten,Norway,Norway,Meander59620483429,2024-09-06
1,"Super disappointed, the staff were rude and not helpful. We was looking forward to a wonderful meal. But we ended up leaving the restaurant…",Rude staff,"Dubai, United Arab Emirates",Dubai,X1168IQmarcuso,2024-09-03
5,"Everything about this restaurant was amazing. The food was great, the atmosphere with the live band playing great songs and the drinks were so good! I can really recommend the drink named New York Old Skull. Our waiter Piotr really made our experience so much better. Next time I’m in Gdansk I will come back!","Great food, amazing drinks and staff!",,,marcusrY7515UO,2024-08-28
5,"Great place to dine in , came with my fiancé for a diner and I was not disappointed Martina was a great waitress the food and cocktails wore amazing highly recomand the place",Amazing place !!!,,,AureliusCastus12,2024-08-27
5,"This was our 2nd year visiting Gdansk and we just had to return to Whiskey in the Jar. 

We made a booking for 8 of us for a family members 40th birthday celebration. 

The food and drinks were amazing as ever. The bloomin’ onion, sharing platter and tomahawk…wow!! We were very looked after by our host who made the meal special by bringing a birthday drink over and taking some photos for us. I think he appreciated our attempt to ask for the bill in Polish 🇵🇱. We will be returning.",Made 40th Birthday Meal celebration special,"Lancashire, United Kingdom",Lancashire,266michelleh,2024-08-22
5,"Me and my husband ate here twice.
First time we came with our kids and we all ordered burgers which were best burgers ever. We had to come back for a date night. I had a steak which was cooked perfectly and seasoned well, I liked tha fact it came with 2 sides and it's not a norm in Poland. Service was really good on our 2nd night we were served by girl named Ester she was extremely helpful and really nice.
I also have to mention pink italian wine they serving. Absolutely amazing. Well done to the team yous doing great job",Date night,,,H3448QWsarak,2024-08-20
5,Full blown place and you can understand why. Really good food. We all took meat on the lava rock. Everyone was really happy. Band that played.,Really good food,,,markusakeson68,2024-08-19
5,"Great food and good atmosphere. Employees who help if there is a need for accommodation (gluten, lactose). Cheerful employees make the atmosphere good. Really good food. Recommended!",Good food! Recommended,"Trondheim, Norway",Trondheim,Frkreiseglad,2024-08-10
1,"My family and I are in Gdansk on a family holiday and we visited this restaurant today. When we finally got the food, I got blood from the meat all over my lap and of course it ruined the shirt completely. When the scope was what it was, I thought maybe we should get some form of compensation for the incident. But on the contrary, the waiter did not offer any kind of apology for spilling on me… Instead, other staff apologized and offered to pay for the rental of a public washing machine which obviously could not repair the damage. I believe it is reasonable to have some form of compensation if the meat I ordered was cold as I had to try to wash away the damage that was done. This is the kind of customer service I want and possibly warn future guests about.",Clothes soaked in blood,,,oliverw216,2024-08-06
1,"I’ve made a reservation for 6 people in this restaurant using google, that was easy and a got a mail confirming it. Unfortunately they didn’t want me as a guest, reservation was void and I was requested to pay for each guest 100 PLN !!! It is about 30 $ Canadian. I am a traveler and I have seen a lot but this is scam 🤷‍♂️ so thank you for that !!!!",Beware of making reservation in this restaurant !!!,"Warsaw, Poland",Warsaw,paulstoronto2016,2024-07-29
5,Great good and cocktails. I had the viking steak derved on a hot Stone. It was one of the best steaks I have ever had👌🏻 Nice waiters and waitresses and atmosphere to😊,Best steak in many years,,,TinaB1864,2024-07-29
5,Fantastic meal. Good service and recommendations by our waitress Mia made this a great experience.  Thank you very much for a great evening that will certainly be repeated.,Exelent,,,runob2023,2024-07-28
5,"First of the service was amazing, the waitress was really helpfull, the drinks the cocktails were delicious as well as the food! Flavors were on top",A nice evening,,,pogosj,2024-07-24
5,"Amazing place, right staff, very Urban decor, the top...
Shall we get to eating? The best meat, fabulous beer, spectacular side dish.
Not to be missed if you pass through Gdansk. 
PS the stars are not enough ❗",Excellent,,,626birbab,2024-07-23
5,"Very good food! We were there twice on our trip to Gdansk! Especially the burgers are very good! Pleasant staff who spread a good atmosphere. Ordered the same drink both times; first time very good, but second time not good. Unsure of reason. ",Whiskey in the jar,"Benalmadena, Spain",Benalmadena,Explore55196057093,2024-07-19
4,"Thus. The wait was huge! We had to sit for over an hour and wait for the food. Two children with me, so it took a bit of a toll on the mood. 

My wife chose salmon and it was not the best. I chose currants, they were awesome. So. 4a",Totally ok. But wait a long time!,"Gothenburg, Sweden",Gothenburg,444carlr,2024-07-19
5,"A nice visit to a different cozy restaurant. The music was loud and we also experienced live performance, so don't expect a quiet restaurant 😊 
The food was delicious and my steak was very tender. 
Would love to come again on my next visit to Gdansk.",Good service and pleasant atmosphere,"Hvidovre, Denmark",Hvidovre,504piah,2024-07-12
1,"Read very good reviews about this place hence we chose to spend our last night in Gdansk here. It was unfortunately a big mistake as we basically felt robbed of the price based on what we got on the plate. Among other things, we ordered one of the most expensive cuts of meat (SEK 660) and expected fireworks. What did we get??? Read below.

+ Good pornstar Martini
+ Nice view and cozy place to sit
+ Live music

- Realized after paying that the waitress charged extra for our choice of potatoes even though it was included
- Disengaged waitress who got mad when we didn't want to tip 
- Serve cold on the cob
- Potato wedges only doughy
- the meat that was cut up was served cold and one part was fried Well Done while the other part was fried Medium. 
- Didn't get to choose sauces for this dish, but got a tasteless sauce and a sauce that tasted only of mustard (?!?)
- We had to wait 15 minutes to order drinks.
Then the drink came after another 10 min. Then ordered food. The food came after 50 min. Luckily we weren't super hungry during the visit 🙄

We ordered 
2 x soft drinks
2 x drinks
1 x grill mix (their most expensive meat dish)
1 x Viking (would be a delicious meat)

For this we had to pay 1562 Swedish kronor!!

Unfortunately cannot recommend anyone to go here given our experience. Possibly for a burger and a beer. But I'd probably rather buy it at home in Sweden for better money.",Cold food and long waiting time,,,angelicagP8219TP,2024-07-11
5,Special thanks to Pjotr from 14 Norwegians having a day in Gdansk. You are the Best promotion to Whiskey in Jar!!!!! Hope we see you also next time we visit Gdansk.,Excellent service,,,Culture45238020664,2024-07-09
5,Rock n steak was so delicious! I’m very satisfied with my visit in this restaurant. Excellent food and great rock music playing in the background- what more can I ask for?,Rock n steak rocks!,,,akhilk518,2024-07-04
5,"What a place!

At first it reminded me of a ""Hard Rock Cafe"" and I was a bit sceptical. But when we went further in and I saw the dry-aging cabinets up in the ceiling I was looking forward to see the menu. All the way from Wagyu to Tomahawks.

I ordered a Viking Steak, 280g from the middle part of beef sirloin. Served on a hot stone, this is one of the best experiences I have ever had when eating steaks out at restaurants.

They gave us some free sample of Tartar, and it was really good.

After the dinner we ordered a drink called Strawberry Hugo Skull XXL. It was served in a huge skull and it both looked and tasted really nice!
We shared this as a couple.

We concluded that maybe the loud rock music would be a little bit too mutch for older people, but we loved it.

We will come back!",I’m in love,,,428j_rgenk,2024-06-30
1,"Started bad and got worse.
Wrong drink arrived, it was corrected.
Ordered the Tomahawk steak, only the XL available but I’d decided I would like a steak so I ordered the XL.
Wasn’t told at this point that the price shown was for the much cheaper pork tomahawk.
The steak arrived. I had asked for medium. The middle was cold and raw. Seriously? The steak was sent back and came back still raw in the middle! I can only guess the chef brought his kids to work and let them cook.
They offered shots as an apology which I don’t drink. Then charged full price , 3x the price of t advertised “pork “ tomahawk!
Didn’t have the decency to reduce the price of the raw steak which I never finished.
Won’t be back and can only hope the chef returns to cookery school.
Very dissatisfied and feel robbed.",Raw meat at full price.,"Inverurie, United Kingdom",Inverurie,StuG73,2024-06-22
5,Great atmosphere. Excellent service by Piotr! Amazing drinks! Took the ribs and a steak on a hotplate. Very tasty. Great sides aswell,Worth a visit,"Gothenburg, Sweden",Gothenburg,padegbg,2024-06-22
5,"Great restaurant in a place where you would not expect this. We had dinner twice in a short time that we were in Gdansk. Excellent service, everything radiates ""whiskey"" in this restaurant with delicious food and great drinks at affordable prices",Great restaurant,,,LydiaK474,2024-06-20
5,"We were looking for a place that served steaks and so we stopped by here.
Rather inconspicuous from the outside, our impression changed as soon as we entered.
Very appealing atmosphere.
Pjotr, our waiter, knew what we wanted better than we did.
He recommended we take the steak on the lava stone, fantastic.
So we were able to determine the degree of doneness ourselves.
He also recommended the appropriate cocktails.
All in all, a successful moment.
The evening was very successful and will certainly make us come back to Gdansk and this great restaurant soon.","Great restaurant, again at any time",,,M6447TJmartind,2024-06-11
5,"Several recent reviews have been bagging the restaurant for going paperless and their menu only online.  I just say, as a 68 year old, it isn't that hard to just suck it up and research the menu before you come or sit down with the menu on your phone or they will lend you a device.

Because, the food is really great!  Fantastic wings were spicy but not hot with the BBQ sauce, pork tomahawk was great and that cherry jar drink was yummy.

Came in peak time on a Sunday with partner and with starter, 2 drinks and dinner with two sides each, we were in and out in just over 1 hour for under 350PLN/$86USD.

So, quick, efficient, yummy and reasonable for the area in pricing.","Quick, great food and reasonably priced","Buderim, Australia",Buderim,AvoJim,2024-06-09
2,"My partner and I were very excited to visit this restaurant, it ticked all the boxes! We couldn't wait to try the steaks and the cocktails. Unfortunately, the service is appalling!! I don't normally write reviews but felt like I had too!!! 

We tried to book but we were told to come back and queue (like most restaurants in Gdansk). We were find with this, we were happy just to get a table. We sat inside around 19:00 and noticed that there were quite a few empty tables inside (most people chose to sit outside). We had to wait around 20 mins before we decided to speak to one of the waitresses and we were told that 'Nathalia' would be right with us. Again, we waited another 20 mins (at this point gasping for a drink!) to be told that 'Nathalia' is our waitress and that she'll be right with us. We waited again for a further 10 mins but noticed Nathalia walk by, so we grabbed her and asked if we could order some drinks, she said that she wasn't our waitress but she would take our order anyway!!!!! No apology at this point. 

We had to wait another 20 mins or so for our drinks (at this point I was getting very frustrated and we did nearly leave) but she eventually turned up with some drinks and took our order. We shared the steak platter (and the steak was great!) and asked for onion rings and chips but it came with sweet potato fries and chips!!! So they even got our order wrong too. 

Before the meal we ordered some more drinks (knowing how long these take) but these turned up about half hour after we finished our meal!!!

It was a very frustrating evening. You don't mind waiting a little bit but this was just ridiculous. There was no apology and they got our order wrong. 

We really wanted to try some of the cocktails but we decided to leave. If the service was improved this place could be amazing... such a shame!

Enter at your own risk... if your waitress is called Nathalia you are in for a very long night!!!",Very poor service!! Only go if you have hours to kill!!,"Rowlands Castle, United Kingdom",Rowlands Castle,FarAway01923544833,2024-06-05
5,"A fantastic meal in a cool venue along the canal. Skilled waiters, our name was Wiki/Wiktoria. Ate Big burger and Rock'n steak, absolutely delicious. Incredibly good and cool drinks.",Top meal,,,552heges,2024-06-02
5,"Good food, great service. Our waiter Natalia did an amazing job and was a good energy! Will recommend people to come and ask for Natalia 🥰",Natalia is great!,,,T4886XFsandran,2024-05-27
4,Great food the Big Burger was excellent. Staff friendly only reason for not giving a 5 was slow service due to restaurant being very busy and a paper menu would make things easier.,Great food,United Kingdom,United Kingdom,stevenkX3360VM,2024-05-26
1,"Waited 30 minutes before the waterise came. Then it took 1,5 hour befor our food came, and the drinks came 30miniuts after the order… not good service here…",NOT GOOOD SERVICE,,,O3712BYkarinae,2024-05-24
5,"Lovely good food, good drinks and nice waiters. Stylish, large venue, in addition, plenty of places for outdoor seating. Rock music, slightly loud volume.",Excellent steak.,,,754gunnb,2024-05-21
3,"Food was delicious, price good & friendly staff. Only gave an average as we had to wait over an hour on our food being served, which is not acceptable. Did not object to menu being online as we had our mobile phones, but a paper menu would have been appreciated.  The online was very difficult to understand.",Evening meal,,,Exploration751802,2024-05-18
1,"I’d read that they used a QR code to access the menu, but I though for us golden oldies there would be proper menus. I was wrong. We were given a tablet, which with the sun shining on was hard to see. There wasn’t a list of drinks and food items as you would see on a proper menu, just lots of colourful pictures. 
I asked again for a menu as we were having trouble with it. No menus, so we left 

Whisky in the Jar in Poznan had been a great place to eat and I was hoping for the same here in Gdansk. Wasn’t to be.",QR code instead of a menu,,,out4theday,2024-05-15
5,"Fantastic place and atmosphere, delicious food, as always, very nice service - Oliwia J. advises the best drinks 🙂❤️ I recommend it! And I'm always happy to come back!",Delicious food and drinks,,,G6365BIaleksandras,2024-05-12
5,"Everything was great, good food, quick serving time, steak cooked to your preference. Mrs. Oliwia J. very polite and helpful!  I recommend!",I recommend,,,Antoninamq,2024-05-12
5,"Try the soapstone, fantastically good. Everything was good ex rib and the burgers. But if you want to cozy up with an aperitif, you should order it first, then the food after it. Commit...otherwise everything is served at the same time.",good,,,Kattalu,2024-05-10
5,"The service was super friendly and attentive. The steak was on point. Excellent meat quality. Top!
Live music was also played that evening. The atmosphere was perfect!","Great food, great drinks. Top staff!","Korschenbroich, Germany",Korschenbroich,Global22654704139,2024-05-10
4,"Great food! The meat was perfect, everyone in the party was very satisfied, we ate the currants and the lava stone, the menu was a bit complicated and the waitress a bit stressed, got the pre-drink and the food soon after.",Great meat!,,,C8478YEmarial,2024-05-01
2,"Have reviewed here twice before ...burgers were great on the first occasion at the original location. Last time the lack of a physical paper menu ruined it for us. The menus were hard to see on our device. You couldn't flip back and forth between starters and main for example as they downloaded separately. Said we wouldn't go back.

But thought we'd have another go as we visit Gdansk so regularly.

No queues this time and the server was friendly, but we asked at the 'wait to be seated' sign' if they had paper menus yet.
No. They don't have them and no workaround was offered.

On our holidays we like to enjoy them without carrying our phones around. Maybe not the hip and trendy thing to do, but this is us and many, many more people who come for complete relaxation. The lack of physical menus means that Whiskey in the Jar is a no go area.
Guys you are missing a trick by excluding such a large proportion of your custom base. PLEASE HAVE SOME PHYSICAL MENUS AVAILABLE!",NO PAPER MENUS NO DINNER!,"Consett, United Kingdom",Consett,702kirstenh,2024-04-24
5,"The place and the food is excellent. We had the most distinguished gallantry waitor Piotric.....
Croatian marry team!",First time in Gdansk!,,,anabZ5741TA,2024-04-22
5,"Amazing food and atmosphere. We visited twice during our stay, and we ordered steaks both times. The people working there were just great, especially Klaudia, our waitress :-) I would say it’s one of the best restaurants in Gdansk.",Amazing food!,"Trondheim, Norway",Trondheim,martheebo,2024-04-09
2,"After reading the reviews we went here with high hopes. We ordered the premium mix plate which was supposed to be 3 different steaks. The waiter was very stressed about getting the food order, which meant that we ordered in a hurry. We were never asked how we wanted the steaks cooked. We got steak that was almost cooked to death and dry. There was also a long wait for the food. Also took a long time to even get the bill",Disappointing,"Tromso, Norway",Tromso,Simonpett01,2024-04-08
1,"Waited 30 minutes whitout someone took our order.
Went up and left. Nobody noticed that either 
Very bad. There were many waitors working  
More intrested in the bigger parties",No service at all,,,Catzy77,2024-04-07
5,"Oliwia J was a fantastic waitress! Really helpful and had great advice!
Food was delicious!
Everyone in our family loved it!",Superb!,,,idab204,2024-03-30
5,Fantastic food and drink. Fantastic service and an atmosphere that is spot on. Meat & rock-'n'-roll 🤘🏼🤘🏼❤️🥰🥰,Meat & rock-'n'-roll,"Oslo, Norway",Oslo,Coastal43406044886,2024-03-30
5,A good restaurant with great service ❤️ Delicious suggestions selected by Oliwia.J 🥹 Thank you and I hope we will come back many more times!,Pychota ❤️,,,dawidl838,2024-03-30
